United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
Lewis,1987,1056,3043
Lincoln,13431,5857,19288
Linn,2648,1340,3988
Livingston,3032,1564,4596
Macon,3685,1731,5416
Madison,2196,1395,3591
"Constitutional AmendmentAmendment 4",YES,NO,Total
Maries,1938,1407,3345
Marion,5744,2673,8417
McDonald,3767,2139,5906
Mercer,765,459,1224
Miller,5482,2962,8444
Mississippi,1932,850,2782
Moniteau,3008,1919,4927
Monroe,1983,1077,3060
Montgomery,2446,1491,3937
Morgan,4433,2302,6735
New Madrid,2866,1340,4206
Newton,12869,6591,19460
Nodaway,4398,2431,6829
Oregon,1741,1188,2929
Osage,3166,2168,5334
Ozark,2314,1254,3568
Pemiscot,2087,939,3026
Perry,3917,2061,5978
Pettis,8574,4252,12826
Phelps,8319,4863,13182
Pike,3226,1746,4972
Platte,26192,14220,40412
Polk,6655,3599,10254
Pulaski,6160,2963,9123
Putnam,1061,562,1623
Ralls,2572,1293,3865
Randolph,4856,2421,7277
Ray,5289,2368,7657
Reynolds,1416,824,2240
Ripley,2306,1281,3587
Saline,3972,2124,6096
"Constitutional AmendmentAmendment 4",YES,NO,Total
Schuyler,896,548,1444
Scotland,827,458,1285
Scott,7573,3726,11299
Shannon,1460,1318,2778
Shelby,1365,825,2190
St. Charles,102081,43901,145982
St. Clair,2416,1164,3580
St. Francois,12120,5560,17680
St. Louis,221030,137085,358115
St. Louis City,39270,42466,81736
Ste. Genevieve,4071,2128,6199
Stoddard,5582,2741,8323
Stone,9252,4117,13369
Sullivan,1042,610,1652
Taney,11761,5452,17213
Texas,4769,3223,7992
Vernon,4072,1916,5988
Warren,8321,4365,12686
Washington,4458,2251,6709
Wayne,2491,1438,3929
Webster,8950,4816,13766
Worth,479,347,826
Wright,3713,2303,6016
Total,1269826,739783,2009609
"Constitutional AmendmentAmendment 5",YES,NO,Total
Adair,3995,2728,6723
Andrew,4597,1899,6496
Atchison,1253,578,1831
Audrain,4709,2452,7161
Barry,6837,3776,10613
Barton,2962,1236,4198
Bates,3754,1796,5550
Benton,5189,2335,7524
Bollinger,2609,1392,4001
Boone,32604,27194,59798
Buchanan,16933,6966,23899
Butler,7221,3840,11061
Caldwell,2182,1102,3284
Callaway,9331,5187,14518
Camden,11794,5900,17694
Cape Girardeau,17515,9306,26821
Carroll,2155,1078,3233
Carter,1010,764,1774
Cass,24901,13528,38429
Cedar,3127,1806,4933
Chariton,1682,994,2676
Christian,20403,11832,32235
Clark,1408,822,2230
Clay,52046,32756,84802
Clinton,4847,2409,7256
Cole,17219,10446,27665
Cooper,3921,2043,5964
Crawford,4490,2760,7250
Dade,1888,999,2887
Dallas,3539,2025,5564
Daviess,1760,834,2594
"Constitutional AmendmentAmendment 5",YES,NO,Total
De Kalb,2352,936,3288
Dent,2934,1845,4779
Douglas,2943,1843,4786
Dunklin,3979,1978,5957
Franklin,23148,12462,35610
Gasconade,3239,2168,5407
Gentry,1519,719,2238
Greene,57147,37582,94729
Grundy,1955,1143,3098
Harrison,1777,805,2582
Henry,4883,2396,7279
Hickory,2189,1334,3523
Holt,1153,471,1624
Howard,2265,1433,3698
Howell,8079,4666,12745
Iron,1801,1099,2900
Jackson,79839,46846,126685
Jasper,22108,11544,33652
Jefferson,48151,28126,76277
Johnson,10299,4986,15285
Kansas City,35322,47920,83242
Knox,786,499,1285
Laclede,7192,3941,11133
Lafayette,7647,3993,11640
Lawrence,7973,4132,12105
Lewis,1941,1090,3031
Lincoln,12550,6427,18977
Linn,2608,1350,3958
Livingston,2879,1693,4572
Macon,3636,1768,5404
Madison,2318,1270,3588
"Constitutional AmendmentAmendment 5",YES,NO,Total
Maries,2137,1188,3325
Marion,5254,3065,8319
McDonald,3856,1963,5819
Mercer,772,445,1217
Miller,5708,2732,8440
Mississippi,1826,924,2750
Moniteau,3131,1788,4919
Monroe,1957,1059,3016
Montgomery,2433,1482,3915
Morgan,4504,2225,6729
New Madrid,2743,1430,4173
Newton,12961,6407,19368
Nodaway,4491,2299,6790
Oregon,1713,1181,2894
Osage,3380,1977,5357
Ozark,2389,1133,3522
Pemiscot,2012,971,2983
Perry,3773,2150,5923
Pettis,8403,4405,12808
Phelps,8057,5033,13090
Pike,3130,1807,4937
Platte,23927,15778,39705
Polk,6442,3710,10152
Pulaski,6047,3273,9320
Putnam,1060,546,1606
Ralls,2473,1376,3849
Randolph,4815,2391,7206
Ray,5029,2578,7607
Reynolds,1415,789,2204
Ripley,2339,1230,3569
Saline,3923,2129,6052
"Constitutional AmendmentAmendment 5",YES,NO,Total
Schuyler,863,579,1442
Scotland,793,476,1269
Scott,7354,3828,11182
Shannon,1497,1254,2751
Shelby,1280,877,2157
St. Charles,88971,54854,143825
St. Clair,2348,1230,3578
St. Francois,11508,5977,17485
St. Louis,194186,159425,353611
St. Louis City,34856,45736,80592
Ste. Genevieve,3728,2328,6056
Stoddard,5411,2844,8255
Stone,8836,4390,13226
Sullivan,1009,632,1641
Taney,11339,5659,16998
Texas,4883,3030,7913
Vernon,3999,1962,5961
Warren,8199,4350,12549
Washington,4275,2376,6651
Wayne,2539,1363,3902
Webster,8793,4961,13754
Worth,564,266,830
Wright,3853,2122,5975
Total,1197677,791231,1988908
"ConstitutionalConvention Question",YES,NO,Total
Adair,1838,4826,6664
Andrew,2246,4167,6413
Atchison,639,1166,1805
Audrain,2093,5038,7131
Barry,3329,7211,10540
Barton,1152,3036,4188
Bates,1684,3801,5485
Benton,2495,4956,7451
Bollinger,1095,2895,3990
Boone,18164,40834,58998
Buchanan,8547,14915,23462
Butler,3491,7375,10866
Caldwell,1011,2266,3277
Callaway,4495,9875,14370
Camden,5710,11847,17557
Cape Girardeau,9369,17172,26541
Carroll,908,2289,3197
Carter,425,1321,1746
Cass,12701,25431,38132
Cedar,1481,3396,4877
Chariton,644,2018,2662
Christian,10736,21057,31793
Clark,741,1493,2234
Clay,26906,56625,83531
Clinton,2378,4835,7213
Cole,8473,18925,27398
Cooper,1697,4213,5910
Crawford,2138,5078,7216
Dade,863,2027,2890
Dallas,1751,3775,5526
Daviess,811,1750,2561
"ConstitutionalConvention Question",YES,NO,Total
De Kalb,1000,2268,3268
Dent,1287,3471,4758
Douglas,1283,3489,4772
Dunklin,2021,3883,5904
Franklin,10439,24856,35295
Gasconade,1465,3877,5342
Gentry,665,1561,2226
Greene,32233,61225,93458
Grundy,857,2220,3077
Harrison,676,1879,2555
Henry,2318,4961,7279
Hickory,984,2533,3517
Holt,494,1096,1590
Howard,1071,2580,3651
Howell,3610,9071,12681
Iron,821,2053,2874
Jackson,38931,85801,124732
Jasper,10916,22272,33188
Jefferson,23185,51283,74468
Johnson,4900,9936,14836
Kansas City,23187,59130,82317
Knox,354,926,1280
Laclede,3407,7644,11051
Lafayette,3644,7859,11503
Lawrence,4009,8050,12059
Lewis,1031,1992,3023
Lincoln,5966,13133,19099
Linn,1171,2774,3945
Livingston,1375,3145,4520
Macon,1362,4021,5383
Madison,980,2574,3554
"ConstitutionalConvention Question",YES,NO,Total
Maries,827,2430,3257
Marion,2811,5466,8277
McDonald,1704,4015,5719
Mercer,324,873,1197
Miller,2726,5286,8012
Mississippi,925,1817,2742
Moniteau,1510,3367,4877
Monroe,901,2123,3024
Montgomery,1088,2774,3862
Morgan,2055,4565,6620
New Madrid,1289,2847,4136
Newton,5769,13332,19101
Nodaway,2085,4581,6666
Oregon,777,2112,2889
Osage,1354,3881,5235
Ozark,914,2547,3461
Pemiscot,1054,1856,2910
Perry,1821,4007,5828
Pettis,4286,8414,12700
Phelps,3922,9002,12924
Pike,1369,3513,4882
Platte,13328,25903,39231
Polk,3290,6775,10065
Pulaski,3279,5684,8963
Putnam,518,1063,1581
Ralls,1196,2598,3794
Randolph,2121,5068,7189
Ray,2380,5218,7598
Reynolds,602,1625,2227
Ripley,1084,2463,3547
Saline,1845,4093,5938
"ConstitutionalConvention Question",YES,NO,Total
Schuyler,447,983,1430
Scotland,393,891,1284
Scott,3617,7495,11112
Shannon,611,2120,2731
Shelby,547,1583,2130
St. Charles,48177,92892,141069
St. Clair,1028,2536,3564
St. Francois,5558,11865,17423
St. Louis,120266,230686,350952
St. Louis City,26440,51038,77478
Ste. Genevieve,1839,4280,6119
Stoddard,2658,5533,8191
Stone,4261,8910,13171
Sullivan,359,1279,1638
Taney,5687,11238,16925
Texas,2142,5777,7919
Vernon,1614,4325,5939
Warren,3729,8631,12360
Washington,1880,4732,6612
Wayne,1150,2730,3880
Webster,4269,9408,13677
Worth,230,590,820
Wright,1519,4431,5950
Total,633228,1330427,1963655
